-DOCSTART- -X- -X- O
recessive JJ I-NP I-Disease
disease NN I-NP I-Disease
characterised VBN B-VP O
by IN B-PP O
thymine NN B-NP O
- HYPH B-NP O
uraciluria NN I-NP O
in IN B-PP O
homozygous JJ B-NP O
deficient JJ I-NP O
patients NNS I-NP O
and CC O O
has VBZ B-VP O
been VBN I-VP O
associated VBN I-VP O
with IN B-PP O
a DT B-NP O
variable JJ I-NP O
clinical JJ I-NP O
phenotype NN I-NP O
. . O O

In IN B-SBAR O
order NN O O
to TO B-VP O
understand VB I-VP O
the DT B-NP O
genetic JJ I-NP O
and CC I-NP O
phenotypic JJ I-NP O
basis NN I-NP O
for IN B-PP O
DPD NN B-NP B-Disease
deficiency NN I-NP I-Disease
, , O O
we PRP B-NP O
have VBP B-VP O
reviewed VBN I-VP O
17 CD B-NP O
families NNS I-NP O
presenting VBG B-VP O
22 CD B-NP O
patients NNS I-NP O
with IN B-PP O
complete JJ B-NP O
deficiency NN I-NP B-Disease
of IN B-PP I-Disease
DPD NN B-NP I-Disease
. . O O

In IN B-PP O
this DT B-NP O
group NN I-NP O
of IN B-PP O
patients NNS B-NP O
, , O O
7 CD B-NP O
different JJ I-NP O
mutations NNS I-NP O
have VBP B-VP O
been VBN I-VP O
identified VBN I-VP O
, , O O
including VBG B-PP O
2 CD B-NP O
deletions NNS I-NP O
[ ( O O
295 CD B-NP O
- HYPH I-NP O
298delTCAT NN I-NP O
, , I-NP O
1897delC NN I-NP O
] ) O O
, , O O
1 CD B-NP O
splice NN I-NP O
- HYPH B-NP O
site NN I-NP O
mutation NN I-NP O
[ ( I-NP O
IVS14 NN I-NP O
+ SYM I-NP O
1G NN I-NP O
> SYM I-NP O
A NN I-NP O
) ) O O
] ) O O
and CC O O
4 CD B-NP O
missense JJ I-NP O
mutations NNS I-NP O
( ( O O
85T NN B-NP O
> SYM I-NP O
C NN I-NP O
, , O O
703C NN B-NP O
> SYM I-NP O
T NNP I-NP O
, , O O
2658G NN B-NP O
> SYM I-NP O
A NN I-NP O
, , O O
2983G NN B-NP O
> SYM B-VP O
T NN B-NP O
) ) O O
. . O O

Analysis NN B-NP O
of IN B-PP O
the DT B-NP O
prevalence NN I-NP O
of IN B-PP O
the DT B-NP O
various JJ I-NP O
mutations NNS I-NP O
among IN B-PP O
DPD NN B-NP B-Disease
patients NNS I-NP O
has VBZ B-VP O
shown VBN I-VP O
that IN B-SBAR O
the DT B-NP O
G NN I-NP O
- SYM B-VP O
- HYPH B-NP O
> SYM I-NP O
A NN I-NP O
point NN I-NP O
mutation NN I-NP O
in IN B-PP O
the DT B-NP O
invariant JJ I-NP O
splice NN I-NP O
donor NN I-NP O
site NN I-NP O
is VBZ B-VP O
by IN B-PP O
far RB B-ADVP O
the DT B-NP O
most RBS I-NP O
common JJ I-NP O
( ( O O
52 CD B-NP O
% NN I-NP O
) ) O O
, , O O
whereas IN O O
the DT B-NP O
other JJ I-NP O
six CD I-NP O
mutations NNS I-NP O
are VBP B-VP O
less RBR I-VP O
frequently RB I-VP O
observed VBN I-VP O
. . O O

A DT B-NP O
large JJ I-NP O
phenotypic JJ I-NP O
variability NN I-NP O
has VBZ B-VP O
been VBN I-VP O
observed VBN I-VP O
, , O O
with IN B-PP O
convulsive JJ B-NP B-Disease
disorders NNS I-NP I-Disease
, , O O
motor NN B-NP B-Disease
retardation NN I-NP I-Disease
and CC O O
mental JJ B-NP B-Disease
retardation NN I-NP I-Disease
being VBG B-VP O
the DT B-NP O
most RBS I-NP O
abundant JJ I-NP O
manifestations NNS I-NP O
. . O O

A DT B-NP O
clear JJ I-NP O
correlation NN I-NP O
between IN B-PP O
the DT B-NP O
genotype NN I-NP O
and CC I-NP O
phenotype NN I-NP O
has VBZ B-VP O
not RB I-VP O
been VBN I-VP O
established VBN I-VP O
. . O O

An DT B-NP O
altered VBN I-NP O
beta SYM I-NP O
- HYPH I-NP O
alanine NN I-NP O
, , I-NP O
uracil NN I-NP O
and CC I-NP O
thymine NN I-NP O
homeostasis NN I-NP O
might MD B-VP O
underlie VB I-VP O
the DT B-NP O
various JJ I-NP O
clinical JJ I-NP B-Disease
abnormalities NNS I-NP I-Disease
encountered VBN B-VP O
in IN B-PP O
patients NNS B-NP O
with IN B-PP O
DPD NN B-NP B-Disease
deficiency NN I-NP I-Disease
. . O O

Fibroblast NN B-NP O
growth NN I-NP O
factor NN I-NP O
homologous JJ I-NP O
factor NN I-NP O
2 CD I-NP O
( ( O O
FHF2 NN B-NP O
) ) O O
: : O O
gene NN B-NP O
structure NN I-NP O
, , O O
expression NN B-NP O
and CC O O
mapping NN B-NP O
to TO B-PP O
the DT B-NP O
Borjeson NNP I-NP B-Disease
- HYPH I-NP I-Disease
Forssman NNP I-NP I-Disease
- HYPH I-NP I-Disease
Lehmann NNP I-NP I-Disease
syndrome NN I-NP I-Disease
region NN I-NP O
in IN B-PP O
Xq26 NN B-NP O
delineated VBN B-VP O
by IN B-PP O
a DT B-NP O
duplication NN I-NP O
breakpoint NN I-NP O
in IN B-PP O
a DT B-NP O
BFLS NN I-NP B-Disease
- HYPH B-NP O
like JJ I-NP O
patient NN I-NP O
. . O O

Borjeson NNP B-NP B-Disease
- HYPH B-NP I-Disease
Forssman NNP I-NP I-Disease
- HYPH I-NP I-Disease
Lehmann NNP I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
BFLS NN B-NP B-Disease
) ) O O
is VBZ B-VP O
a DT B-NP O
syndromal JJ I-NP O
X NN I-NP B-Disease
- HYPH B-VP I-Disease
linked VBN B-NP I-Disease
mental JJ I-NP I-Disease
retardation NN I-NP I-Disease
, , O O
which WDT B-NP O
maps VBZ B-VP O
by IN B-PP O
linkage NN B-NP O
to TO B-PP O
the DT B-NP O
q26 NN I-NP O
region NN I-NP O
of IN B-PP O
the DT B-NP O
human JJ I-NP O
X NN I-NP O
chromosome NN I-NP O
. . O O

We PRP B-NP O
have VBP B-VP O
identified VBN I-VP O
a DT B-NP O
male JJ I-NP O
patient NN I-NP O
with IN B-PP O
BFLS NN B-NP B-Disease
- HYPH B-NP O
like JJ I-NP O
features NNS I-NP O
and CC O O
a DT B-NP O
duplication NN I-NP O
, , O O
46 CD B-NP O
, , O O
Y NN B-NP O
, , O O
dup NN B-NP O
( ( O O
X NN B-NP O
) ) O O
( ( O O
q26q28 NN B-NP O
) ) O O
, , O O
inherited VBN B-VP O
from IN B-PP O
his PRP$ B-NP O
phenotypically RB I-NP O
normal JJ I-NP O
mother NN I-NP O
. . O O

Fluorescence NN B-NP O
in FW B-NP O
situ FW I-NP O
hybridisation NN I-NP O
using VBG B-VP O
yeast NN B-NP O
artificial JJ I-NP O
chromosome NN I-NP O
clones NNS I-NP O
from IN B-PP O
Xq26 NN B-NP O
localised VBD B-VP O
the DT B-NP O
duplication NN I-NP O
breakpoint NN I-NP O
to TO B-PP O
an DT B-NP O
approximately RB I-NP O
400 CD I-NP O
- HYPH I-NP O
kb NN I-NP O
interval NN I-NP O
in IN B-PP O
the DT B-NP O
Xq26 NN I-NP O
. . O O

3 CD B-NP O
region NN I-NP O
between IN B-PP O
DXS155 NN B-NP O
and CC I-NP O
DXS294 NN I-NP O
/ SYM B-NP O
DXS730 NN I-NP O
. . O O

Database NN B-NP O
searches NNS I-NP O
and CC O O
analysis NN B-NP O
of IN B-PP O
available JJ B-NP O
genomic JJ I-NP O
DNA NN I-NP O
sequence NN I-NP O
from IN B-PP O
the DT B-NP O
region NN I-NP O
revealed VBD B-VP O
the DT B-NP O
presence NN I-NP O
of IN B-PP O
the DT B-NP O
fibroblast NN I-NP O
growth NN I-NP O
factor NN I-NP O
homologous JJ I-NP O
factor NN I-NP O
gene NN I-NP O
, , O O
FHF2 NN B-NP O
, , O O
within IN B-PP O
the DT B-NP O
duplication NN I-NP O
breakpoint NN I-NP O
interval NN I-NP O
. . O O

The DT B-NP O
gene NN I-NP O
structure NN I-NP O
of IN B-PP O
FHF2 NN B-NP O
was VBD B-VP O
determined VBN I-VP O
and CC O O
two CD B-NP O
new JJ I-NP O
exons NNS I-NP O
were VBD B-VP O
identified VBN I-VP O
, , O O
including VBG B-PP O
a DT B-NP O
new JJ I-NP O
5 CD I-NP O
end NN I-NP O
exon NN I-NP O
, , O O
1B NN B-NP O
. . O O

FHF2 NN B-NP O
is VBZ B-VP O
a DT B-NP O
large JJ I-NP O
gene NN I-NP O
extending VBG B-VP O
over IN B-PP O
approximately RB B-NP O
200 CD I-NP O
kb NN I-NP O
in IN B-PP O
Xq26 NN B-NP O
. . O O

3 CD B-NP O
and CC O O
is VBZ B-VP O
composed VBN I-VP O
of IN B-PP O
at IN B-NP O
least JJS I-NP O
seven CD I-NP O
exons NNS I-NP O
. . O O

It PRP B-NP O
shows VBZ B-VP O
tissue NN B-NP O
- HYPH B-NP O
specific JJ I-NP O
alternative JJ I-NP O
splicing NN I-NP O
and CC O O
alternative JJ B-NP O
transcription NN I-NP O
starts NNS I-NP O
. . O O

Northern NN B-NP O
blot NN I-NP O
hybridisation NN I-NP O
showed VBD B-VP O
highest JJS B-NP O
expression NN I-NP O
in IN B-PP O
brain NN B-NP O
and CC O O
skeletal JJ B-NP O
muscle NN I-NP O
. . O O

The DT B-NP O
FHF2 NN I-NP O
gene NN I-NP O
localisation NN I-NP O
and CC I-NP O
tissue NN I-NP O
- HYPH B-NP O
specific JJ I-NP O
expression NN I-NP O
pattern NN I-NP O
suggest VBP B-VP O
it PRP B-NP O
to TO B-VP O
be VB I-VP O
a DT B-NP O
candidate NN I-NP O
gene NN I-NP O
for IN B-PP O
familial JJ B-NP O
cases NNS I-NP O
of IN B-PP O
the DT B-NP O
BFLS NN I-NP B-Disease
syndrome NN I-NP I-Disease
and CC O O
other JJ B-NP O
syndromal JJ I-NP O
and CC I-NP O
non AFX I-NP O
- HYPH I-NP O
specific JJ I-NP O
forms NNS I-NP O
of IN B-PP O
X NN B-NP B-Disease
- HYPH B-VP I-Disease
linked VBN B-NP I-Disease
mental JJ I-NP I-Disease
retardation NN I-NP I-Disease
mapping VBG B-VP O
to TO B-PP O
the DT B-NP O
region NN I-NP O
. . O O

Germline NN B-NP O
E NN I-NP O
- HYPH B-NP O
cadherin NN I-NP O
gene NN I-NP O
( ( O O
CDH1 NN B-NP O
) ) O O
mutations NNS B-NP O
predispose VBP B-VP O
to TO B-PP O
familial JJ B-NP B-Disease
gastric JJ I-NP I-Disease
cancer NN I-NP I-Disease
and CC O O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
. . O O

Inherited VBN B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
E NN I-NP O
- HYPH B-NP O
cadherin NN I-NP O
gene NN I-NP O
( ( O O
CDH1 NN B-NP O
) ) O O
were VBD B-VP O
described VBN I-VP O
recently RB B-ADVP O
in IN B-PP O
three CD B-NP O
Maori NNP I-NP O
kindreds NNS I-NP O
with IN B-PP O
familial JJ B-NP B-Disease
gastric JJ I-NP I-Disease
cancer NN I-NP I-Disease
. . O O

Familial JJ B-NP B-Disease
gastric JJ I-NP I-Disease
cancer NN I-NP I-Disease
is VBZ B-VP O
genetically RB B-ADJP O
heterogeneous JJ I-ADJP O
and CC O O
it PRP B-NP O
is VBZ B-VP O
not RB O O
clear JJ B-ADJP O
what WDT B-NP O
proportion NN I-NP O
of IN B-PP O
gastric JJ B-NP B-Disease
cancer NN I-NP I-Disease
susceptibility NN I-NP O
in IN B-PP O
non AFX B-NP O
- HYPH I-NP O
Maori NNP I-NP O
populations NNS I-NP O
is VBZ B-VP O
due IN B-PP O
to TO B-PP O
germline NN B-NP O
CDH1 NN I-NP O
mutations NNS I-NP O
. . O O

Therefore RB B-ADVP O
, , O O
we PRP B-NP O
screened VBD B-VP O
eight CD B-NP O
familial JJ I-NP B-Disease
gastric JJ I-NP I-Disease
cancer NN I-NP I-Disease
kindreds NNS I-NP O
of IN B-PP O
British JJ B-NP O
and CC I-NP O
Irish JJ I-NP O
origin NN I-NP O
for IN B-PP O
germline NN B-NP O
CDH1 NN I-NP O
mutations NNS I-NP O
, , O O
by IN B-PP O
SSCP NN B-NP O
analysis NN I-NP O
of IN B-PP O
all DT B-NP O
16 CD I-NP O
exons NNS I-NP O
and CC I-NP O
flanking NN I-NP O
sequences NNS I-NP O
. . O O

Each DT B-NP O
family NN I-NP O
contained VBD B-VP O
( ( O O
i NNS B-NP O
) ) O O
two CD B-NP O
cases NNS I-NP O
of IN B-PP O
gastric JJ B-NP B-Disease
cancer NN I-NP I-Disease
in IN B-PP O
first JJ B-NP O
degree NN I-NP O
relatives NNS I-NP O
with IN B-PP O
one CD B-NP O
affected VBN B-VP O
before IN B-PP O
age NN B-NP O
50 CD B-NP O
years NNS I-NP O
; : O O
or CC O O
( ( O O
ii NNS B-NP O
) ) O O
three CD B-NP O
or CC I-NP O
more JJR I-NP O
cases NNS I-NP O
of IN B-PP O
gastric JJ B-NP B-Disease
cancer NN I-NP I-Disease
. . O O

Novel JJ B-NP O
germline NN I-NP O
CDH1 NN I-NP O
mutations NNS I-NP O
( ( O O
a DT B-NP O
nonsense NN I-NP O
and CC O O
a DT B-NP O
splice NN I-NP O
site NN I-NP O
) ) O O
were VBD B-VP O
detected VBN I-VP O
in IN B-PP O
two CD B-NP O
families NNS I-NP O
( ( O O
25 CD B-NP O
% NN I-NP O
) ) O O
. . O O

Both DT B-NP O
mutations NNS I-NP O
were VBD B-VP O
predicted VBN I-VP O
to TO B-VP O
truncate VB I-VP O
the DT B-NP O
E NN I-NP O
- HYPH B-NP O
cadherin NN I-NP O
protein NN I-NP O
in IN B-PP O
the DT B-NP O
signal NN I-NP O
peptide NN I-NP O
domain NN I-NP O
. . O O

In IN B-PP O
one CD B-NP O
family NN I-NP O
there EX B-NP O
was VBD B-VP O
evidence NN B-NP O
of IN B-PP O
non AFX B-NP O
- HYPH I-NP O
penetrance NN I-NP O
and CC I-NP O
susceptibility NN I-NP O
to TO B-PP O
both CC O O
gastric JJ B-NP B-Disease
and CC I-NP I-Disease
colorectal JJ I-NP I-Disease
cancer NN I-NP I-Disease
; : O O
thus RB B-ADVP O
, , O O
in IN B-PP O
addition NN B-NP O
to TO B-PP O
six CD B-NP O
cases NNS I-NP O
of IN B-PP O
gastric JJ B-NP B-Disease
cancer NN I-NP I-Disease
, , O O
a DT B-NP O
CDH1 NN I-NP O
mutation NN I-NP O
carrier NN I-NP O
developed VBD B-VP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
at IN B-PP O
age NN B-NP O
30 CD B-NP O
years NNS I-NP O
. . O O

We PRP B-NP O
have VBP B-VP O
confirmed VBN I-VP O
that IN B-SBAR O
germline NN B-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
CDH1 NN I-NP O
gene NN I-NP O
cause VBP B-VP O
familial JJ B-NP B-Disease
gastric JJ I-NP I-Disease
cancer NN I-NP I-Disease
in IN B-PP O
non AFX B-NP O
- HYPH I-NP O
Maori NNP I-NP O
populations NNS I-NP O
. . O O

However RB B-ADVP O
, , O O
only RB B-NP O
a DT I-NP O
minority NN I-NP O
of IN B-PP O
familial JJ B-NP O
gastric JJ I-NP B-Disease
cancers NNS I-NP I-Disease
can MD B-VP O
be VB I-VP O
accounted VBN I-VP O
for IN B-PP O
by IN B-PP O
CDH1 NN B-NP O
mutations NNS I-NP O
. . O O

Loss NN B-NP O
of IN B-PP O
E NN B-NP O
- HYPH B-NP O
cadherin NN I-NP O
function NN I-NP O
has VBZ B-VP O
been VBN I-VP O
implicated VBN I-VP O
in IN B-PP O
the DT B-NP O
pathogenesis NN I-NP O
of IN B-PP O
sporadic JJ B-NP O
colorectal JJ I-NP B-Disease
and CC I-NP I-Disease
other JJ I-NP I-Disease
cancers NNS I-NP I-Disease
, , O O
and CC O O
our PRP$ B-NP O
findings NNS I-NP O
provide VBP B-VP O
evidence NN B-NP O
that IN B-SBAR O
germline NN B-NP O
CDH1 NN I-NP O
mutations NNS I-NP O
predispose VBP B-VP O
to TO B-PP O
early JJ B-NP O
onset NN I-NP O
colorectal JJ I-NP B-Disease
cancer NN I-NP I-Disease
. . O O

Thus RB B-ADVP O
, , O O
CDH1 NN B-NP O
should MD B-VP O
be VB I-VP O
investigated VBN I-VP O
as IN B-PP O
a DT B-NP O
cause NN I-NP O
of IN B-PP O
inherited VBN B-NP O
susceptibility NN I-NP O
to TO B-PP O
both CC O O
gastric JJ B-NP B-Disease
and CC I-NP I-Disease
colorectal JJ I-NP I-Disease
cancers NNS I-NP I-Disease
. . O O

A DT B-NP O
zinc NN I-NP O
finger NN I-NP O
truncation NN I-NP O
of IN B-PP O
murine JJ B-NP O
WT1 NN I-NP O
results VBZ B-VP O
in IN B-PP O
the DT B-NP O
characteristic JJ I-NP O
urogenital JJ I-NP B-Disease
abnormalities NNS I-NP I-Disease
of IN B-PP O
Denys NNP B-NP B-Disease
- HYPH I-NP I-Disease
Drash NNP I-NP I-Disease
syndrome NN I-NP I-Disease
. . O O

The DT B-NP O
Wilms NNP I-NP B-Disease
tumor NN I-NP I-Disease
- HYPH B-NP O
suppressor NN I-NP O
gene NN I-NP O
, , O O
WT1 NN B-NP O
, , O O
plays VBZ B-VP O
a DT B-NP O
key JJ I-NP O
role NN I-NP O
in IN B-PP O
urogenital JJ B-NP O
development NN I-NP O
, , O O
and CC O O
WT1 NN B-NP B-Disease
dysfunction NN I-NP I-Disease
is VBZ B-VP O
implicated VBN I-VP O
in IN B-PP O
both CC O O
neoplastic JJ O B-Disease
( ( O O
Wilms NNP B-NP B-Disease
tumor NN I-NP I-Disease
, , O O
mesothelioma NN B-NP B-Disease
, , O O
leukemias NNS B-NP B-Disease
, , O O
and CC O O
breast NN B-NP B-Disease
cancer NN I-NP I-Disease
) ) O O
and CC O O
nonneoplastic JJ B-NP B-Disease
( ( O O
glomerulosclerosis NN B-NP B-Disease
) ) O O
disease NN B-NP O
. . O O

The DT B-NP O
analysis NN I-NP O
of IN B-PP O
diseases NNS B-NP O
linked VBN B-VP O
specifically RB B-ADVP O
with IN B-PP O
WT1 NN B-NP O
mutations NNS I-NP O
, , O O
such JJ B-PP O
as IN I-PP O
Denys NNPS B-NP B-Disease
- HYPH I-NP I-Disease
Drash NN I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
DDS NN B-NP B-Disease
) ) O O
, , O O
can MD B-VP O
provide VB I-VP O
valuable JJ B-NP O
insight NN I-NP O
concerning VBG B-VP O
the DT B-NP O
role NN I-NP O
of IN B-PP O
WT1 NN B-NP O
in IN B-PP O
development NN B-NP O
and CC I-NP O
disease NN I-NP O
. . O O

DDS NN B-NP B-Disease
is VBZ B-VP O
a DT B-NP O
rare JJ I-NP O
childhood NN I-NP O
disease NN I-NP O
characterized VBN B-VP O
by IN B-PP O
a DT B-NP O
nephropathy NN I-NP B-Disease
involving VBG B-VP O
mesangial JJ B-NP B-Disease
sclerosis NN I-NP I-Disease
, , O O
XY NN B-NP O
pseudohermaphroditism NN I-NP B-Disease
, , O O
and CC O O
/ SYM B-NP O
or CC O O
Wilms NNP B-NP B-Disease
tumor NN I-NP I-Disease
( ( O O
WT NN B-NP B-Disease
) ) O O
. . O O

DDS NN B-NP B-Disease
patients NNS I-NP O
are VBP B-VP O
constitutionally RB B-ADJP O
heterozygous JJ I-ADJP O
for IN B-PP O
exonic JJ B-NP O
point NN I-NP O
mutations NNS I-NP O
in IN B-PP O
WT1 NN B-NP O
, , O O
which WDT B-NP O
include VBP B-VP O
mutations NNS B-NP O
predicted VBN B-VP O
to TO B-VP O
truncate VB I-VP O
the DT B-NP O
protein NN I-NP O
within IN B-PP O
the DT B-NP O
C NN I-NP O
- HYPH B-NP O
terminal JJ I-NP O
zinc NN I-NP O
finger NN I-NP O
( ( O O
ZF NN B-NP O
) ) O O
region NN B-NP O
. . O O

We PRP B-NP O
report VBP B-VP O
that IN B-SBAR O
heterozygosity NN B-NP O
for IN B-PP O
a DT B-NP O
targeted VBN I-NP O
murine JJ I-NP O
Wt1 NN I-NP O
allele NN I-NP O
, , O O
Wt1 NN B-NP O
( ( O O
tmT396 NN B-NP O
) ) O O
, , O O
which WDT B-NP O
truncates VBZ B-VP O
ZF3 NN B-NP O
at IN B-PP O
codon NN B-NP O
396 CD I-NP O
, , O O
induces VBZ B-VP O
mesangial JJ B-NP B-Disease
sclerosis NN I-NP I-Disease
characteristic JJ B-ADJP O
of IN B-PP O
DDS NN B-NP B-Disease
in IN B-PP O
adult JJ B-NP O
heterozygous JJ I-NP O
and CC I-NP O
chimeric JJ I-NP O
mice NNS I-NP O
. . O O

Male JJ B-NP B-Disease
genital JJ I-NP I-Disease
defects NNS I-NP I-Disease
also RB B-ADVP O
were VBD B-VP O
evident JJ B-ADJP O
and CC O O
there EX B-NP O
was VBD B-VP O
a DT B-NP O
single JJ I-NP O
case NN I-NP O
of IN B-PP O
Wilms NNP B-NP B-Disease
tumor NN I-NP I-Disease
in IN B-PP O
which WDT B-NP O
the DT B-NP O
transcript NN I-NP O
of IN B-PP O
the DT B-NP O
nontargeted JJ I-NP O
allele NN I-NP O
showed VBD B-VP O
an DT B-NP O
exon NN I-NP O
9 CD I-NP O
skipping NN I-NP O
event NN I-NP O
, , O O
implying VBG B-VP O
a DT B-NP O
causal JJ I-NP O
link NN I-NP O
between IN B-PP O
Wt1 NN B-NP B-Disease
dysfunction NN I-NP I-Disease
and CC O O
Wilms NNP B-NP B-Disease
tumorigenesis NN I-NP I-Disease
in IN B-PP O
mice NNS B-NP O
. . O O

However RB B-ADVP O
, , O O
the DT B-NP O
mutant JJ I-NP O
WT1 NN I-NP O
( ( O O
tmT396 NN B-NP O
) ) O O
protein NN B-NP O
accounted VBD B-VP O
for IN B-PP O
only RB B-NP O
5 CD I-NP O
% NN I-NP O
of IN B-PP O
WT1 NN B-NP O
in IN B-PP O
both CC B-NP O
heterozygous JJ I-NP O
embryonic JJ I-NP O
stem NN I-NP O
cells NNS I-NP O
and CC O O
the DT B-NP O
WT NN I-NP B-Disease
. . O O

This DT B-NP O
has VBZ B-VP O
implications NNS B-NP O
regarding VBG B-VP O
the DT B-NP O
mechanism NN I-NP O
by IN B-PP O
which WDT B-NP O
the DT B-NP O
mutant JJ I-NP O
allele NN I-NP O
exerts VBZ B-VP O
its PRP$ B-NP O
effect NN I-NP O
. . O O

Mechanism NN B-NP O
of IN B-PP O
increased VBN B-NP O
iron NN I-NP O
absorption NN I-NP O
in IN B-PP O
murine JJ B-NP O
model NN I-NP O
of IN B-PP O
hereditary JJ B-NP B-Disease
hemochromatosis NN I-NP I-Disease
: : O O
increased VBN B-NP O
duodenal JJ I-NP O
expression NN I-NP O
of IN B-PP O
the DT B-NP O
iron NN I-NP O
transporter NN I-NP O
DMT1 NN I-NP O
. . O O

Hereditary JJ B-NP B-Disease
hemochromatosis NN I-NP I-Disease
( ( O O
HH NN B-NP B-Disease
) ) O O
is VBZ B-VP O
a DT B-NP O
common JJ I-NP O
autosomal JJ I-NP B-Disease
recessive JJ I-NP I-Disease
disorder NN I-NP I-Disease
characterized VBN B-VP O
by IN B-PP O
tissue NN B-NP O
iron NN I-NP O
deposition NN I-NP O
secondary JJ B-ADJP O
to TO B-PP O
excessive JJ B-NP O
dietary JJ I-NP O
iron NN I-NP O
absorption NN I-NP O
. . O O

We PRP B-NP O
recently RB B-ADVP O
reported VBD B-VP O
that IN B-SBAR O
HFE NN B-NP O
, , O O
the DT B-NP O
protein NN I-NP O
defective JJ B-ADJP O
in IN B-PP O
HH NN B-NP B-Disease
, , O O
was VBD B-VP O
physically RB I-VP O
associated VBN I-VP O
with IN B-PP O
the DT B-NP O
transferrin NN I-NP O
receptor NN I-NP O
( ( O O
TfR NN B-NP O
) ) O O
in IN B-PP O
duodenal JJ B-NP O
crypt NN I-NP O
cells NNS I-NP O
and CC O O
proposed VBD B-VP O
that IN B-SBAR O
mutations NNS B-NP O
in IN B-PP O
HFE NN B-NP O
attenuate VBP B-VP O
the DT B-NP O
uptake NN I-NP O
of IN B-PP O
transferrin NN B-NP O
- HYPH O O
bound VBN B-NP O
iron NN I-NP O
from IN B-PP O
plasma NN B-NP O
by IN B-PP O
duodenal JJ B-NP O
crypt NN I-NP O
cells NNS I-NP O
, , O O
leading VBG B-VP O
to TO B-PP O
up RB B-ADVP O
- HYPH O O
regulation NN B-NP O
of IN B-PP O
transporters NNS B-NP O
for IN B-PP O
dietary JJ B-NP O
iron NN I-NP O
. . O O

Here RB B-ADVP O
, , O O
we PRP B-NP O
tested VBD B-VP O
the DT B-NP O
hypothesis NN I-NP O
that IN B-SBAR O
HFE NN B-NP O
- HYPH O O
/ SYM O O
- HYPH O O
mice NNS B-NP O
have VBP B-VP O
increased VBN I-VP O
duodenal JJ B-NP O
expression NN I-NP O
of IN B-PP O
the DT B-NP O
divalent JJ I-NP O
metal NN I-NP O
transporter NN I-NP O
( ( O O
DMT1 NN B-NP O
) ) O O
. . O O

By IN B-PP O
4 CD B-NP O
weeks NNS I-NP O
of IN B-PP O
age NN B-NP O
, , O O
the DT B-NP O
HFE NN I-NP O
- HYPH O O
/ SYM O O
- HYPH O O
mice NNS B-NP O
demonstrated VBD B-VP O
iron NN B-NP O
loading NN I-NP O
when WRB B-ADVP O
compared VBN B-PP O
with IN B-PP O
HFE NN B-NP O
+ SYM B-NP O
/ SYM B-VP O
+ SYM B-NP O
littermates NNS I-NP O
, , O O
with IN B-PP O
elevated VBN B-NP O
transferrin NN I-NP O
saturations NNS I-NP O
( ( O O
68 CD B-NP O
. . O O

4 CD B-NP O
% NN I-NP O
vs NNS I-NP O
. . O O

49 CD B-NP O
. . O O

8 CD B-NP O
% NN I-NP O
) ) O O
and CC O O
elevated JJ B-NP O
liver NN I-NP O
iron NN I-NP O
concentrations NNS I-NP O
( ( O O
985 CD B-NP O
micrograms NNS I-NP O
vs CC O O
. . O O

381 CD B-NP O
micrograms NNS I-NP O
) ) O O
. . O O

By IN B-PP O
using VBG B-VP O
Northern JJ B-NP O
blot NN I-NP O
analyses NNS I-NP O
, , O O
we PRP B-NP O
quantitated VBD B-VP O
duodenal JJ B-NP O
expression NN I-NP O
of IN B-PP O
both DT B-NP O
classes NNS I-NP O
of IN B-PP O
DMT1 NN B-NP O
transcripts NNS I-NP O
one CD B-NP O
containing VBG B-VP O
an DT B-NP O
iron NN I-NP O
responsive JJ I-NP O
element NN I-NP O
( ( O O
IRE NN B-NP O
) ) O O
, , O O
called VBN B-VP O
DMT1 NN B-NP O
( ( O O
IRE NN B-NP O
) ) O O
, , O O
and CC O O
one CD B-NP O
containing VBG B-VP O
no DT B-NP O
IRE NN I-NP O
, , O O
called VBN B-VP O
DMT1 NN B-NP O
( ( O O
non AFX O O
- HYPH O O
IRE NN B-NP O
) ) O O
. . O O

The DT B-NP O
positive JJ I-NP O
control NN I-NP O
for IN B-PP O
DMT1 NN B-NP O
up RB B-ADVP O
- HYPH B-NP O
regulation NN I-NP O
was VBD B-VP O
a DT B-NP O
murine JJ I-NP O
model NN I-NP O
of IN B-PP O
dietary JJ B-NP B-Disease
iron NN I-NP I-Disease
deficiency NN I-NP I-Disease
that WDT B-NP O
demonstrated VBD B-VP O
greatly RB B-NP O
increased VBN I-NP O
levels NNS I-NP O
of IN B-PP O
duodenal JJ B-NP O
DMT1 NN I-NP O
( ( O O
IRE NN B-NP O
) ) O O
mRNA NN B-NP O
. . O O

HFE NN B-NP O
- HYPH O O
/ SYM O O
- HYPH O O
mice NNS B-NP O
also RB B-ADVP O
demonstrated VBD B-VP O
an DT B-NP O
increase NN I-NP O
in IN B-PP O
duodenal JJ B-NP O
DMT1 NN I-NP O
( ( O O
IRE NN B-NP O
